year,light_novel_count,light_novel_percentage
1990,7,2.0172910662824206
1991,3,0.8797653958944283
1992,4,1.1049723756906076
1993,5,1.5384615384615385
1994,3,0.9090909090909091
1995,6,1.7699115044247788
1996,5,1.529051987767584
1997,5,1.5673981191222568
1998,5,1.3404825737265416
1999,7,1.7412935323383085
2000,6,1.4925373134328357
2001,9,1.768172888015717
2002,4,0.7827788649706457
2003,7,1.3409961685823755
2004,9,1.675977653631285
2005,22,3.7037037037037033
2006,26,3.6568213783403656
2007,30,4.2492917847025495
2008,32,4.776119402985075
2009,51,6.496815286624204
2010,34,4.325699745547073
2011,39,4.285714285714286
2012,54,5.227492739593417
2013,55,5.0691244239631335
2014,66,5.48172757475083
2015,47,4.030874785591767
2016,44,3.4267912772585665
2017,53,3.940520446096654
2018,51,3.8577912254160367
2019,50,4.22654268808115
2020,42,3.6874451273046533
2021,57,4.797979797979798
2022,56,5.233644859813085
